contrast_id	cohort_number	disease	accession	ontology_domain	role_code	category	term	description	fdr	role_marker_count	detected_marker_count	dep_marker_count	proximity_score
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R13	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	3	3	2	2.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R14	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	3	3	2	2.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R15	TISSUES	BTO:0000392	Plasma cell	0.0029	4	4	1	1.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R16	TISSUES	BTO:0000345	Digestive gland	0.0058	8	7	2	2.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R17	TISSUES	BTO:0000759	Liver	0.0093	7	6	2	2.0
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R18	TISSUES	BTO:0000763	Lung	0.0101	6	4	0	0.7
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R19	TISSUES	BTO:0001491	Viscus	0.0258	9	7	2	2.35
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R1	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	6	5	1	-1.0
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R2	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	6	5	1	-1.0
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R3	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	8	7	2	0.35
