marker	reference_log2FC	reference_direction	contrast_id	context	disease	accession	case_label	control_label	n_case	n_control	ontology_domain	ontology_parent	ontology_detail	human_disease_scope	detected	display_gene	feature_id	uniprot_id	protein_name	log2FC	p_value	FDR	abs_log2FC	tier	cohort_direction	direction_agreement	concordance_status
ACTG1	-5.98	down_in_chronic	primary__ckd_all_vs_nor_control__chronic_kidney_disease__PXD016433__all_ckd_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	all_ckd	control	30	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	ACTG1	P63261	P63261;I3L3I0;I3L1U9;I3L4N8;K7EM38;I3L3R2;J3KT65	Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed	-4.97537039634286	3.57230210390506e-06	0.0004162922718417	4.97537039634286	strict	down_in_case	same_direction	concordant_dep
VWF	4.280000000000001	up_in_chronic	primary__ckd_all_vs_nor_control__chronic_kidney_disease__PXD016433__all_ckd_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	all_ckd	control	30	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	VWF	P04275	P04275;P04275-2	von Willebrand factor;von Willebrand antigen 2	-1.37805837371197	0.0095441112499472	0.0389792207124013	1.37805837371197	strict	down_in_case	opposite_direction	discordant_dep
DNAH9	5.84	up_in_chronic	primary__ckd_all_vs_nor_control__chronic_kidney_disease__PXD016433__all_ckd_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	all_ckd	control	30	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	primary__ckd_all_vs_nor_control__chronic_kidney_disease__PXD016433__all_ckd_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	all_ckd	control	30	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	GPX3	A0A087X1J7	A0A087X1J7;P22352;H0YBE4;E5RG32;H0YC19;A0A087X0K3;P59796;O75715	Glutathione peroxidase;Glutathione peroxidase 3	0.396759323444115	0.288649044577582	0.432223802178453	0.396759323444115	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
C4B	-4.150000000000002	down_in_chronic	primary__ckd_all_vs_nor_control__chronic_kidney_disease__PXD016433__all_ckd_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	all_ckd	control	30	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	C4B	P0C0L5	P0C0L5;F5GXS0	Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain	0.137344018187576	0.766841573708865	0.844105208339482	0.137344018187576	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
CD44	1.5799999999999983	up_in_chronic	primary__ckd_all_vs_nor_control__chronic_kidney_disease__PXD016433__all_ckd_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	all_ckd	control	30	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	CD44	P16070-8	P16070-8;P16070-9;P16070-4;P16070-3;P16070-7;P16070-5;P16070;H0YDW7;H0YCV9;H0Y5E4;P16070-15;P16070-18;P16070-12;P16070-14;P16070-13;P16070-11;P16070-10;P16070-16;P16070-17;P16070-6;H0Y2P0;H0YDX6;H0YD13;E9PKC6;H0YD17;Q86UZ1;H0YEU1;P16070-19;H0YD90;H0YEV3;H0YF08;H0YDV8;H0YCL4	CD44 antigen	-1.20588126023193	0.0944531825395749	0.193104284303131	1.20588126023193	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
CFHR2	1.4699999999999989	up_in_chronic	primary__ckd_all_vs_nor_control__chronic_kidney_disease__PXD016433__all_ckd_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	all_ckd	control	30	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	CFHR2	V9GYE7	V9GYE7;P36980-2;P36980	Complement factor H-related protein 2	1.56368124036254	0.0163597663647544	0.056293054341714	1.56368124036254	suggestive	up_in_case	same_direction	concordant_dep
ITIH3	-1.2100000000000009	down_in_chronic	primary__ckd_all_vs_nor_control__chronic_kidney_disease__PXD016433__all_ckd_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	all_ckd	control	30	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	ITIH3	Q06033-2	Q06033-2;Q06033;A0A087WW43;E7ET33;CON__Q0V8M9	Inter-alpha-trypsin inhibitor heavy chain H3	1.49144841399972	0.172648250542607	0.300287703431321	1.49144841399972	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
LRG1	-1.7199999999999989	down_in_chronic	primary__ckd_all_vs_nor_control__chronic_kidney_disease__PXD016433__all_ckd_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	all_ckd	control	30	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	LRG1	P02750	P02750;CON__Q2KIF2;REV__Q5TBA9	Leucine-rich alpha-2-glycoprotein	0.47012875869013	0.467071413888885	0.60477098627983	0.47012875869013	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
MYH7B	-5.32	down_in_chronic	primary__ckd_all_vs_nor_control__chronic_kidney_disease__PXD016433__all_ckd_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	all_ckd	control	30	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_1_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_1	control	9	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	ACTG1	P63261	P63261;I3L3I0;I3L1U9;I3L4N8;K7EM38;I3L3R2;J3KT65	Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed	-3.69675148939792	0.0024594941759182	0.128107462710638	3.69675148939792	exploratory	down_in_case	same_direction	concordant_exploratory
VWF	4.280000000000001	up_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_1_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_1	control	9	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	VWF	P04275	P04275;P04275-2	von Willebrand factor;von Willebrand antigen 2	-0.77195463329107	0.183638868653971	0.473822929970387	0.77195463329107	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
DNAH9	5.84	up_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_1_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_1	control	9	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_1_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_1	control	9	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	GPX3	A0A087X1J7	A0A087X1J7;P22352;H0YBE4;E5RG32;H0YC19;A0A087X0K3;P59796;O75715	Glutathione peroxidase;Glutathione peroxidase 3	0.776139719995509	0.0307541076255882	0.273809639877417	0.776139719995509	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
C4B	-4.150000000000002	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_1_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_1	control	9	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	C4B	P0C0L5	P0C0L5;F5GXS0	Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain	-0.136007758756797	0.784258628120779	0.901238381474929	0.136007758756797	not_tiered	down_in_case	same_direction	weak_same_direction
CD44	1.5799999999999983	up_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_1_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_1	control	9	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	CD44	P16070-8	P16070-8;P16070-9;P16070-4;P16070-3;P16070-7;P16070-5;P16070;H0YDW7;H0YCV9;H0Y5E4;P16070-15;P16070-18;P16070-12;P16070-14;P16070-13;P16070-11;P16070-10;P16070-16;P16070-17;P16070-6;H0Y2P0;H0YDX6;H0YD13;E9PKC6;H0YD17;Q86UZ1;H0YEU1;P16070-19;H0YD90;H0YEV3;H0YF08;H0YDV8;H0YCL4	CD44 antigen	0.570503539493643	0.10523781250224	0.398442264725546	0.570503539493643	not_tiered	up_in_case	same_direction	weak_same_direction
CFHR2	1.4699999999999989	up_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_1_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_1	control	9	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	CFHR2	V9GYE7	V9GYE7;P36980-2;P36980	Complement factor H-related protein 2	0.378245560317431	0.365575513599671	0.639560850677782	0.378245560317431	not_tiered	up_in_case	same_direction	weak_same_direction
ITIH3	-1.2100000000000009	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_1_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_1	control	9	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	ITIH3	Q06033-2	Q06033-2;Q06033;A0A087WW43;E7ET33;CON__Q0V8M9	Inter-alpha-trypsin inhibitor heavy chain H3	0.130036471579277	0.727024972340192	0.878533121951587	0.130036471579277	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
LRG1	-1.7199999999999989	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_1_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_1	control	9	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	LRG1	P02750	P02750;CON__Q2KIF2;REV__Q5TBA9	Leucine-rich alpha-2-glycoprotein	0.158086521781684	0.857640231533888	0.945124478895335	0.158086521781684	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
MYH7B	-5.32	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_1_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_1	control	9	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_3_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_3	control	11	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	ACTG1	P63261	P63261;I3L3I0;I3L1U9;I3L4N8;K7EM38;I3L3R2;J3KT65	Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed	-4.7329600026502	1.22563936669422e-06	0.0001848566826429	4.7329600026502	strict	down_in_case	same_direction	concordant_dep
VWF	4.280000000000001	up_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_3_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_3	control	11	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	VWF	P04275	P04275;P04275-2	von Willebrand factor;von Willebrand antigen 2	-0.920372812292289	0.0479647397930935	0.135269250747336	0.920372812292289	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
DNAH9	5.84	up_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_3_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_3	control	11	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_3_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_3	control	11	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	GPX3	A0A087X1J7	A0A087X1J7;P22352;H0YBE4;E5RG32;H0YC19;A0A087X0K3;P59796;O75715	Glutathione peroxidase;Glutathione peroxidase 3	0.538524865908695	0.217249137414987	0.371473130342925	0.538524865908695	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
C4B	-4.150000000000002	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_3_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_3	control	11	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	C4B	P0C0L5	P0C0L5;F5GXS0	Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain	0.20791179225775	0.673696966655383	0.778962117695286	0.20791179225775	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
CD44	1.5799999999999983	up_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_3_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_3	control	11	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	CD44	P16070-8	P16070-8;P16070-9;P16070-4;P16070-3;P16070-7;P16070-5;P16070;H0YDW7;H0YCV9;H0Y5E4;P16070-15;P16070-18;P16070-12;P16070-14;P16070-13;P16070-11;P16070-10;P16070-16;P16070-17;P16070-6;H0Y2P0;H0YDX6;H0YD13;E9PKC6;H0YD17;Q86UZ1;H0YEU1;P16070-19;H0YD90;H0YEV3;H0YF08;H0YDV8;H0YCL4	CD44 antigen	-0.394111485834454	0.368812745981216	0.53614126029449	0.394111485834454	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
CFHR2	1.4699999999999989	up_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_3_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_3	control	11	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	CFHR2	V9GYE7	V9GYE7;P36980-2;P36980	Complement factor H-related protein 2	1.45520625341258	0.0209114972316725	0.0797832348206048	1.45520625341258	suggestive	up_in_case	same_direction	concordant_dep
ITIH3	-1.2100000000000009	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_3_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_3	control	11	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	ITIH3	Q06033-2	Q06033-2;Q06033;A0A087WW43;E7ET33;CON__Q0V8M9	Inter-alpha-trypsin inhibitor heavy chain H3	1.35129176883759	0.128029217610419	0.259396876358006	1.35129176883759	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
LRG1	-1.7199999999999989	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_3_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_3	control	11	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	LRG1	P02750	P02750;CON__Q2KIF2;REV__Q5TBA9	Leucine-rich alpha-2-glycoprotein	1.18507400812688	0.0550516427970542	0.146490159086682	1.18507400812688	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
MYH7B	-5.32	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_3_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_3	control	11	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_5	control	10	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	ACTG1	P63261	P63261;I3L3I0;I3L1U9;I3L4N8;K7EM38;I3L3R2;J3KT65	Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed	-2.30954727053238	0.0784856979176184	0.153920343235222	2.30954727053238	not_tiered	down_in_case	same_direction	weak_same_direction
VWF	4.280000000000001	up_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_5	control	10	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	VWF	P04275	P04275;P04275-2	von Willebrand factor;von Willebrand antigen 2	-1.40530104990587	0.0265264780653386	0.0666808202913924	1.40530104990587	suggestive	down_in_case	opposite_direction	discordant_dep
DNAH9	5.84	up_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_5	control	10	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_5	control	10	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	GPX3	A0A087X1J7	A0A087X1J7;P22352;H0YBE4;E5RG32;H0YC19;A0A087X0K3;P59796;O75715	Glutathione peroxidase;Glutathione peroxidase 3	0.824706346898971	0.127535538149618	0.21372794079369	0.824706346898971	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
C4B	-4.150000000000002	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_5	control	10	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	C4B	P0C0L5	P0C0L5;F5GXS0	Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain	1.23106754302246	0.0426043717154203	0.0964863712378636	1.23106754302246	suggestive	up_in_case	opposite_direction	discordant_dep
CD44	1.5799999999999983	up_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_5	control	10	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	CD44	P16070-8	P16070-8;P16070-9;P16070-4;P16070-3;P16070-7;P16070-5;P16070;H0YDW7;H0YCV9;H0Y5E4;P16070-15;P16070-18;P16070-12;P16070-14;P16070-13;P16070-11;P16070-10;P16070-16;P16070-17;P16070-6;H0Y2P0;H0YDX6;H0YD13;E9PKC6;H0YD17;Q86UZ1;H0YEU1;P16070-19;H0YD90;H0YEV3;H0YF08;H0YDV8;H0YCL4	CD44 antigen	-2.77224285476005	2.29102333058071e-06	3.28604620847018e-05	2.77224285476005	strict	down_in_case	opposite_direction	discordant_dep
CFHR2	1.4699999999999989	up_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_5	control	10	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	CFHR2	V9GYE7	V9GYE7;P36980-2;P36980	Complement factor H-related protein 2	3.31456955136133	4.3813704038562e-05	0.0003580974804939	3.31456955136133	strict	up_in_case	same_direction	concordant_dep
ITIH3	-1.2100000000000009	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_5	control	10	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	ITIH3	Q06033-2	Q06033-2;Q06033;A0A087WW43;E7ET33;CON__Q0V8M9	Inter-alpha-trypsin inhibitor heavy chain H3	1.69078265579857	0.174913182320609	0.267653361940357	1.69078265579857	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
LRG1	-1.7199999999999989	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_5	control	10	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	True	LRG1	P02750	P02750;CON__Q2KIF2;REV__Q5TBA9	Leucine-rich alpha-2-glycoprotein	0.88985847458946	0.217718435211399	0.318203866847429	0.88985847458946	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
MYH7B	-5.32	down_in_chronic	subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	chronic_kidney_disease	Chronic kidney disease	PXD016433	ckd_stage_5	control	10	6	Kidney/urinary	chronic kidney disease	CKD all-stage and stage-specific urine contrasts	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	PXD044264_plasma_AKI_subphenotype_2_vs_1	conditional_plasma_aki_subphenotype	AKI plasma subphenotype 2 vs 1	PXD044264	AKI_subphenotype_2	AKI_subphenotype_1	42	14	Kidney/urinary	acute kidney injury	AKI plasma subphenotype 2 versus subphenotype 1	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
VWF	4.280000000000001	up_in_chronic	PXD044264_plasma_AKI_subphenotype_2_vs_1	conditional_plasma_aki_subphenotype	AKI plasma subphenotype 2 vs 1	PXD044264	AKI_subphenotype_2	AKI_subphenotype_1	42	14	Kidney/urinary	acute kidney injury	AKI plasma subphenotype 2 versus subphenotype 1	human	True	VWF	P04275	P04275	von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)]	0.302945789265582	0.2834338372599465	0.3757575627517858	0.302945789265582	not_tiered	up_in_case	same_direction	weak_same_direction
DNAH9	5.84	up_in_chronic	PXD044264_plasma_AKI_subphenotype_2_vs_1	conditional_plasma_aki_subphenotype	AKI plasma subphenotype 2 vs 1	PXD044264	AKI_subphenotype_2	AKI_subphenotype_1	42	14	Kidney/urinary	acute kidney injury	AKI plasma subphenotype 2 versus subphenotype 1	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	PXD044264_plasma_AKI_subphenotype_2_vs_1	conditional_plasma_aki_subphenotype	AKI plasma subphenotype 2 vs 1	PXD044264	AKI_subphenotype_2	AKI_subphenotype_1	42	14	Kidney/urinary	acute kidney injury	AKI plasma subphenotype 2 versus subphenotype 1	human	True	GPX3	P22352	P22352	Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Extracellular glutathione peroxidase) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P)	0.5104476558425475	6.870098516517649e-05	0.0003446368809044	0.5104476558425475	suggestive	up_in_case	opposite_direction	discordant_dep
C4B	-4.150000000000002	down_in_chronic	PXD044264_plasma_AKI_subphenotype_2_vs_1	conditional_plasma_aki_subphenotype	AKI plasma subphenotype 2 vs 1	PXD044264	AKI_subphenotype_2	AKI_subphenotype_1	42	14	Kidney/urinary	acute kidney injury	AKI plasma subphenotype 2 versus subphenotype 1	human	True	C4B	P0C0L5	P0C0L5	Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; Complement C4b-B; C4d-B; Complement C4 gamma chain]	0.7955581091119832	7.115449434656348e-05	0.0003489142072174	0.7955581091119832	suggestive	up_in_case	opposite_direction	discordant_dep
CD44	1.5799999999999983	up_in_chronic	PXD044264_plasma_AKI_subphenotype_2_vs_1	conditional_plasma_aki_subphenotype	AKI plasma subphenotype 2 vs 1	PXD044264	AKI_subphenotype_2	AKI_subphenotype_1	42	14	Kidney/urinary	acute kidney injury	AKI plasma subphenotype 2 versus subphenotype 1	human	True	CD44	P16070	P16070	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	1.4024433950267363	8.242217778787551e-13	1.1181942119888444e-10	1.4024433950267363	strict	up_in_case	same_direction	concordant_dep
CFHR2	1.4699999999999989	up_in_chronic	PXD044264_plasma_AKI_subphenotype_2_vs_1	conditional_plasma_aki_subphenotype	AKI plasma subphenotype 2 vs 1	PXD044264	AKI_subphenotype_2	AKI_subphenotype_1	42	14	Kidney/urinary	acute kidney injury	AKI plasma subphenotype 2 versus subphenotype 1	human	True	CFHR2	P36980	P36980	Complement factor H-related protein 2 (FHR-2) (DDESK59) (H factor-like 3) (H factor-like protein 2)	0.7121902397911981	0.0004423819511602	0.0016671245752056	0.7121902397911981	suggestive	up_in_case	same_direction	concordant_dep
ITIH3	-1.2100000000000009	down_in_chronic	PXD044264_plasma_AKI_subphenotype_2_vs_1	conditional_plasma_aki_subphenotype	AKI plasma subphenotype 2 vs 1	PXD044264	AKI_subphenotype_2	AKI_subphenotype_1	42	14	Kidney/urinary	acute kidney injury	AKI plasma subphenotype 2 versus subphenotype 1	human	True	ITIH3	Q06033	Q06033	Inter-alpha-trypsin inhibitor heavy chain H3 (ITI heavy chain H3) (ITI-HC3) (Inter-alpha-inhibitor heavy chain 3) (Serum-derived hyaluronan-associated protein) (SHAP)	0.7650571185427104	1.0736895332658694e-05	6.607905957182159e-05	0.7650571185427104	suggestive	up_in_case	opposite_direction	discordant_dep
